Lens ID,Title,Date Published,Publication Year,Publication Type,Source Title,ISSNs,Publisher,Source Country,Author/s,Abstract,Volume,Issue Number,Start Page,End Page,Fields of Study,Keywords,MeSH Terms,Chemicals,Funding,Source URLs,External URL,PMID,DOI,Microsoft Academic ID,PMCID,Patent Citation Count,References,Scholarly Citation Count
000-108-273-351-151,"Eliminate, Abandon, Dismantle: Cataloging in Library Consultant Reports",,2012,journal article,Knowledge Organization,09437444,International Society for Knowledge Organization,Germany,Tina Gross,,39,5,398,402,Library science; Political science; Cataloging,,,,,http://dx.doi.org/10.5771/0943-7444-2012-5-398,http://dx.doi.org/10.5771/0943-7444-2012-5-398,,10.5771/0943-7444-2012-5-398,2811384953,,0,,0
001-254-322-670-872,Why public libraries in sweden did nor choose Dewey.,2010-01-01,2010,journal article,Knowledge Organization,09437444,,,Joacim Hansson,"The article identifies two distinct sections, one within the public library sphere and one in academic libraries, relevant for the development of a unique Swedish classification system (the SAB-system) to be used in public libraries. These are used to analyse the social and discursive influences that led to a rejection of the DDC as the common classification system for the public libraries in Sweden. The author analyses the debate that took place in the 1910s in various publications and identifies theoretical as well as some practical reasons for rejecting the DDC. Reference is also made to the situation in Norway and Denmark at this time and their attempts to influence Sweden to accept the DDC as had been done in these countries. Conclusions are drawn that the reasons for rejection of the DDC not only is to be sought in theoretical or even practical problems regarding the system itself but in the academic library sector which, through the SAB-system, could create a lasting influence on the knowledge organisation in public libraries in order to uphold the national identity of the Swedish library system",24,3,145,153,Sociology; Library science; Library classification; Disadvantage; National identity; Academic library; Knowledge organisation,,,,,http://www.diva-portal.org/smash/record.jsf?pid=diva2:292515,http://www.diva-portal.org/smash/record.jsf?pid=diva2:292515,,,392260780,,0,,1
001-542-585-753-06X,Designing a Thesaurus to Give Visibility to the Historical Archives in the Archivo del Reino in Valencia,,2011,journal article,Knowledge Organization,09437444,International Society for Knowledge Organization,Germany,Vicent Gimenez-Chornet; Mercedes Escrig-Gimenez,"This article describes the process of constructing a thesaurus based on original historical documents located in the Archivo del Reino de Valencia, one of the most important historical archives in Spain. After examining precedents, we discuss the methodology used and its application. The aim of the project was to provide visibility to information contained in these historical documents which would otherwise have remained inaccessible and to do so in the clearest, most rigorous, and most useful way possible for both the specialized user and the general public. The use of information technology as a management tool is not as common in archives, especially historical archives, as in other documentation areas such as libraries. A pilot project was therefore set up to create an intranet support for managing four specific historical archives containing documents dating from the 13 th to the 20 th centuries. The most important part of this project was that of exploring the viability of constructing a thesaurus to become part of the automated program for archive description and checking.",38,2,153,166,Information technology; Visibility; Engineering; World Wide Web; Library science; Intranet; Management tool; Documentation,,,,,http://cat.inist.fr/?aModele=afficheN&cpsidt=24274265 http://dx.doi.org/10.5771/0943-7444-2011-2-154,http://dx.doi.org/10.5771/0943-7444-2011-2-154,,10.5771/0943-7444-2011-2-154,2524040766,,0,,2
001-567-105-453-238,Classical Pragmatism and its Varieties: On a Pluriform Metatheoretical Perspective for Knowledge Organization,2011-11-04,2011,journal article,Knowledge Organization,09437444,International Society for Knowledge Organization,Germany,Thomas M. Dousa,,2,1,1,9,Epistemology; Sociology; Pragmatism; Ontology; Knowledge organization,,,,,https://arizona.openrepository.com/handle/10150/105796 http://journals.lib.washington.edu/index.php/nasko/article/download/12809/11291 https://journals.lib.washington.edu/index.php/nasko/article/view/12809,http://dx.doi.org/10.7152/nasko.v2i1.12809,,10.7152/nasko.v2i1.12809,2005694311,,0,000-409-067-561-341; 007-716-747-884-19X; 015-837-299-432-202; 020-818-564-135-012; 028-840-925-321-913; 030-052-392-380-99X; 035-067-074-481-289; 039-605-397-004-920; 044-939-394-642-346; 047-173-765-684-08X; 054-056-383-970-604; 080-945-058-659-719; 083-796-388-370-769; 086-189-392-125-955; 086-947-696-709-087; 092-443-662-293-245; 108-745-962-125-027; 123-890-024-105-075; 125-035-556-405-293; 145-927-183-875-127; 154-209-198-838-441; 159-175-579-458-417; 167-219-482-137-774; 190-805-304-109-100; 194-391-518-246-985; 195-539-028-993-237,5
001-740-487-901-126,"Publication of ISO 25964-2, the standard for interoperability of thesauri",,2013,journal article,KNOWLEDGE ORGANIZATION,09437444,Nomos Verlag,,,,40,2,147,148,,,,,,,http://dx.doi.org/10.5771/0943-7444-2013-2-147-1,,10.5771/0943-7444-2013-2-147-1,,,0,,0
002-351-310-733-62X,Developing a Metadata Element Set for Organizing Literary Works: A Survey of the American Literary Community,,2011,journal article,Knowledge Organization,09437444,International Society for Knowledge Organization,Germany,Stephen Paling,,38,3,262,277,World Wide Web; Sociology; Metadata element,,,,,http://dx.doi.org/10.5771/0943-7444-2011-3-262,http://dx.doi.org/10.5771/0943-7444-2011-3-262,,10.5771/0943-7444-2011-3-262,2893881590,,0,,8
002-733-369-145-420,Metadata Object Description Schema (MODS) in Digital Repositories: An Exploratory Study of Metadata Use and Quality,,2009,journal article,Knowledge Organization,09437444,International Society for Knowledge Organization,Germany,Jung-ran Park; Susan Maszaros,"Jung-ran Park is assistant professor at the College of Information Science and Technology, Drexel University. Prior to joining Drexel University, she worked as a cataloger at Indiana State University. She received a Ph.D. in linguistics and an MLIS from the University of Hawaii. She has applied her linguistics background to her primary research areas in knowledge organization and representation, computer-mediated communication and cross-lingual information access. Dr. Park is currently the principal investigator of a grant project ""Metadata Creation and Metadata Quality Control across Digital Collections: Evaluation of Current Practices"" from the Institute of Museum and Library Services.",36,1,46,59,World Wide Web; Information access; Assistant professor; Metadata Object Description Schema; Knowledge organization; Computer science; Exploratory research; XML; Metadata; Information science,,,,,http://cat.inist.fr/?aModele=afficheN&cpsidt=24455072 http://dx.doi.org/10.5771/0943-7444-2009-1-46,http://dx.doi.org/10.5771/0943-7444-2009-1-46,,10.5771/0943-7444-2009-1-46,2524262891,,0,,3
003-162-710-191-077,User Profiling on a Pilot Digital Library with the Final Result of a New Adaptive Knowledge Management Solution,,2011,journal article,Knowledge Organization,09437444,International Society for Knowledge Organization,Germany,Karl Petrič; Teodor Petrič; Marjan Krisper; Vladislav Rajkovič,"In this article, several procedures (e.g., measurements, information retrieval analyses, power law, association rules, hierarchical clustering) are introduced which were made on a pilot digital library. Information retrievals of web users from 01/01/2003 to 01/01/2006 on the internal search engine of the pilot digital library have been analyzed. With the power law method of data processing, a constant information retrieval pattern has been established, stable over a longer period of time. After this, the data have been analyzed. On the basis of the accomplished measurements and analyses, a series of mental models of web users for global (educational) purposes have been developed (e.g., the metamodel of thought hierarchy of web users, the segmentation model of web users), and the users were profiled in four different groups (adventurers, observers, applicable, and know-alls). The article concludes with the construction of a new knowledge management solution called multidimensional rank thesaurus.",38,2,96,113,Data mining; Data processing; Profiling (computer programming); Association rule learning; Information retrieval; Hierarchy; Computer science; Digital library; Knowledge management; Metamodeling; Segmentation; Hierarchical clustering,,,,,http://dx.doi.org/10.5771/0943-7444-2011-2-96 http://cat.inist.fr/?aModele=afficheN&cpsidt=24274261,http://dx.doi.org/10.5771/0943-7444-2011-2-96,,10.5771/0943-7444-2011-2-96,2526410924,,0,035-753-073-379-418; 090-885-354-392-642; 101-021-300-225-610; 105-614-742-799-485; 106-469-865-732-588; 115-918-357-438-638; 186-280-256-567-292,3
003-608-201-421-94X,"Keywords, Indexing, Text Analysis: An Editorial",,2013,journal article,Knowledge Organization,09437444,International Society for Knowledge Organization,Germany,Richard P. Smiraglia,,40,3,155,159,Information retrieval; Computer science; Text mining; Search engine indexing,,,,,http://dx.doi.org/10.5771/0943-7444-2013-3-155,http://dx.doi.org/10.5771/0943-7444-2013-3-155,,10.5771/0943-7444-2013-3-155,2811157458,,0,,1
003-635-763-775-698,Dynamic Subject Numbers Replace Traditional Classification Numbers,,2013,journal article,Knowledge Organization,09437444,International Society for Knowledge Organization,Germany,Kuan-nien Chen,,40,3,160,168,Computer science; Arithmetic,,,,,http://dx.doi.org/10.5771/0943-7444-2013-3-160,http://dx.doi.org/10.5771/0943-7444-2013-3-160,,10.5771/0943-7444-2013-3-160,2810267648,,0,,1
