Lens ID,Title,Date Published,Publication Year,Publication Type,Source Title,ISSNs,Publisher,Source Country,Author/s,Abstract,Volume,Issue Number,Start Page,End Page,Fields of Study,Keywords,MeSH Terms,Chemicals,Funding,Source URLs,External URL,PMID,DOI,Microsoft Academic ID,PMCID,Patent Citation Count,References,Scholarly Citation Count
001-281-947-751-975,Abridging the UDC : the compiling of the Pocket Edition,,1999,journal article,Knowledge Organization,09437444,,,G. Robinson,"Gives an account of the editing of Universal Decimal Classification (UDC) from the full database to produce a brief, simplified version. Describes the selection criteria, difficulties in maintaining consistency and insights gained into optimizing future maintenance of the scheme.",26,3,149,156,Data mining; Universal Decimal Classification; Selection criterion; Computer science,,,,,,,,,2537970136,,0,,0
006-687-633-497-865,Knowledge representation and organization in the Iter project: A Web-based digital library for scholars of the middle ages and Renaissance,,2001,journal article,Knowledge Organization,09437444,,,Clare Beghtol,"The Iter Project (iter means path or journey in Latin) is an internationally supported non-profit research project created with the objective of providing electronic access to all kinds and formats of materials that relate to the Middle Ages and Renaissance (400-1700) and that were published between 1700 and the present. Knowledge representation and organization decisions for the Project were influenced by its potential international clientele of scholarly users, and these decisions illustrate the importance and efficacy of collaboration between specialized users and information professionals. The paper outlines the scholarly principles and information goals of the Project and describes in detail the methodology developed to provide reliable and consistent knowledge representation and organization for one component of the Project, the Iter Bibliography. Examples of fully catalogued records for the Iter Bibliography are included.",28,4,170,179,Engineering management; The Internet; Web application; World Wide Web; Knowledge representation and reasoning; Newspaper; Cataloging; Knowledge organization; Bibliographic database; Computer science; Digital library,,,,,,,,,2470587218,,0,,1
008-962-886-761-456,Description of a professional activity. Modelling of the activity linked with the completion of a pharmacy thesis related to its terminology environment. II. Terminology organization of the activity,,2000,journal article,Knowledge Organization,09437444,,,Pascal Bador; Jacqueline Rey,"Following the modelling of the activity related to the completion of a pharmacy thesis, as presented in part I, we have completed the activity analysis by drawing up a structured word list to show the terminological organization around the ten operational phases. Indeed, it seemed obvious to us that the reasoning at the root of any activity is based on words used to describe it. This terminology inventory which we called Structured Terminology Environment (STE), together with the modelling diagram, could eventually be directly used during the conceiving of a software tool specific to the studied professional activity. The STE is a thesaurus of 565 words selected on the basis of a corpus stemming from five pharmacy theses and six books, where we put the significant terms which represent the actors and actions we observed during the ten phases, as well as the handled tools. Once the terms were shared out among the ten basic operations, we structured the terminology by grouping the concepts of a same nature so that the sub-categories show a certain homogeneity around the action. We used the following basic relationships: generic/specific relationships, whole/part relationships and finally, we completed the categorization with the help of classes induced by facets (process, phenomenon, properties, material or object, tool or equipment and operating conditions).",27,,44,54,Pharmacy; Information management; Artificial intelligence; Knowledge representation and reasoning; Information system; Natural language processing; Professional activity; Computer science; Operations research; Phenomenon; Terminology; Categorization,,,,,,,,,2495708169,,0,,0
009-175-881-547-438,The notion of Category : Its implications in subject analysis and in the construction and evaluation of indexing languages,,2000,journal article,Knowledge Organization,09437444,,,Mario Barité,"The notion of category, from Aristotle and Kant to the present time, has been used as a basic intellectual tool for the analysis of the existence and changeableness of things. Ranganathan was the first to extrapolate the concept into the Theory of Classification, placing it as an essential axis for the logical organization of knowledge and the construction of indexing languages. This paper proposes a conceptual and methodological reexamination of the notion of category from a functional and instrumental perspective, and tries to clarify the essential characters of categories in that context, and their present implications regarding the construction and evaluation of indexing languages.",27,,4,10,Subject analysis; Logical organization; Computer science; Linguistics; Search engine indexing; Categorization,,,,,,,,,2510500498,,0,,3
013-353-791-759-027,How NLP can improve Question Answering,,2002,journal article,Knowledge Organization,09437444,,,Olivier Ferret; Brigitte Grau; Martine Hurault-Plantet; Gabriel Illouz; Christian Jacquemin; Laura Monceaux; Isabelle Robba; Anne Vilnat,"Answering open-domain factual questions requires Natural Language processing for refining document selection and answer identification. With our system QALC (Question Answering system of the Language and Cognition Group), we have participated in the Question Answering track of the TREC8, TREC9 and TREC10 (Text REtrieval Conferences) evaluations. QALC performs an analysis of documents relying on multi-word term searches and their linguistic variation both to minimize the number of documents selected and to provide additional clues when comparing question and sentence representations. This comparison process also makes use of the results of a syntactic parsing of the questions and Named Entity recognition functionalities. Answer extraction relies on the application of syntactic patterns chosen according to the kind of information that is sought, and categorized depending on the syntactic form of the question. These patterns allow QALC to handle nicely linguistic variations at the answer level.",29,,135,155,Artificial intelligence; Cognition; Natural language; Information extraction; Natural language processing; Sentence; Named-entity recognition; Text retrieval; Computer science; Question answering; Syntax,,,,,https://www.researchgate.net/profile/Gabriel_Illouz/publication/228889760_How_NLP_can_improve_question_answering/links/00b4951a4be571afc2000000.pdf,https://www.researchgate.net/profile/Gabriel_Illouz/publication/228889760_How_NLP_can_improve_question_answering/links/00b4951a4be571afc2000000.pdf,,,2477784021,,0,004-446-332-271-977; 024-974-050-032-462; 042-538-084-181-564; 047-142-891-296-908; 066-878-165-679-024; 070-736-350-423-945; 077-048-547-770-524; 083-692-152-408-357; 100-432-702-921-651; 112-933-920-033-135; 124-140-123-350-926; 138-531-150-152-614; 141-063-250-216-076; 144-492-335-267-619; 152-956-193-260-325; 155-133-544-062-964,16
013-636-309-273-433,Query reformulation for information retrieval on the Web using the point of view methodology: Preliminary results,,2001,journal article,Knowledge Organization,09437444,,,Leila Nait-Baha; Agata Jackiewicz; Brahim Djioua; Philippe Laublet,"The work we are presenting is devoted to the information collected on the WWW. By the term collected we mean the whole process of retrieving, extracting and presenting results to the user. This research is part of the RAP (Research, Analyze, Propose) project in which we propose to combine two methods: (i) query formulation using linguistic markers according to a given point of view; and (ii) text semantic analysis by means of contextual exploration results (Descles, 1991). The general project architecture describing the interactions between the users, the RAP system and the WWW search engine is presented in Nait-Baha et al. (1998). We will focus this paper on showing how we use linguistic markers to reformulate the queries according to a given point of view.",28,3,129,136,Architecture; World Wide Web; Information retrieval; Query formulation; Computer science; Search engine,,,,,,,,,2518820497,,0,,0
014-482-297-957-834,Faceted indexing based system for organizing and accessing Internet resources,,2002,journal article,Knowledge Organization,09437444,,,Francis J. Devadason; Neelawat Intaraksa; Ponprapa Patamawongjariya; Kavita Desai,"Organizing and providing access to the resources on the Internet has been a problem area in spite of the availability of sophisticated search engines and other software tools. There have been several attempts to organize the resources on the World Wide Web. Some of them have tried to use traditional library classification schemes such as the Library of Congress Classification, the Dewey Decimal Classification and others. However there is a need to assign proper subject headings to them and present them in a logical or hierarchical sequence to cater to the need for browsing. This paper attempts to describe an experimental system designed to organize and provide access to web documents using a faceted pre-coordinate indexing system based on the Deep Structure Indexing System (DSIS) derived from POPSI (Postulate based Permuted Subject Indexing) of Bhattacharyya, and the facet analysis and chain indexing system of Ranganathan. A prototype software system has been designed to create a database of records specifying Web documents according to the Dublin Core and to input a faceted subject heading according to DSIS. Synonymous terms are added to the standard terms in the heading using appropriate symbols. Once the data are entered along with a description and the URL of the web document, the record is stored in the system. More than one faceted subject heading can be assigned to a record depending on the content of the original document. The system stores the surrogates and keeps the faceted subject headings separately after establishing a link. The search is carried out on index entries derived from the faceted subject heading using the chain indexing technique. If a single term is input, the system searches for its presence in the faceted subject headings and displays the subject headings in a sorted sequence reflecting an organizing sequence. If the number of retrieved headings is too large (running into more than a page) the user has the option of entering another search term to be searched in combination. The system searches subject headings already retrieved and looks for those containing the second term. The retrieved faceted subject headings can be displayed and browsed. When the relevant subject heading is selected the system displays the records with their URLs. Using the URL, the original document on the web can be accessed. The prototype system developed in a Windows NT environment using ASP and a web server is under rigorous testing. The database and index management routines need further development.",29,2,65,77,Controlled vocabulary; Library of Congress Classification; Dewey Decimal Classification; Web server; World Wide Web; Library classification; Information retrieval; Subject indexing; Computer science; Index term; Search engine indexing,,,,,,,,,2519249569,,0,019-340-375-042-065; 025-651-247-970-399; 049-024-738-718-081; 053-421-725-922-255; 061-042-938-213-428; 070-277-249-353-807; 094-568-885-910-564; 102-669-910-571-199; 103-395-889-409-656; 150-908-378-075-688; 153-597-642-536-484; 158-560-662-702-526; 175-321-858-375-051; 182-499-359-463-219,5
016-646-164-523-566,"Knowledge representation: Concept, techniques and the analytico-synthetic paradigm",,2001,journal article,Knowledge Organization,09437444,,,Jagdish Chandra Binwal; null Lalhmachhuana,Defines the concept of knowledge representation. Explains the major AI (Artificial Intelligence)-based knowledge representation techniques developed so far. Critically examines the strengths and weaknesses of such AI techniques. Argues that the analytico-synthetic approach advocated by Ranganathan is really a powerful knowledge representation technique containing in itself the epistemological foundations required for real progress in the field.,28,1,5,16,Epistemology; Knowledge representation and reasoning; Body of knowledge; Cognitive science; Computer science; Strengths and weaknesses,,,,,,,,,2539266683,,0,,10
018-426-685-841-728,Classification for information retrieval and classification for knowledge discovery: Relationships between professional and naive classifications,,2003,journal article,Knowledge Organization,09437444,,,Clare Beghtol,"Classification is a transdisciplinary activity that occurs during all human pursuits. Classificatory activity, however, serves different purposes in different situations. In information retrieval, the primary purpose of classification is to find knowledge that already exists, but one of the purposes of classification in other fields is to discover new knowledge. In this paper, classifications for information retrieval are called professional classifications because they are devised by people who have a professional interest in classification, and classifications for knowledge discovery are called naive classifications because they are devised by people who have no particular interest in studying classification as an end in itself. This paper compares the overall purposes and methods of these two kinds of classifications and provides a general model of the relationships between the two kinds of classificatory activity in the context of information studies. This model addresses issues of the influence of scholarly activity and communication on the creation and revision of classifications for the purposes of information retrieval and for the purposes of knowledge discovery. Further comparisons elucidate the relationships between the universality of classificatory methods and the specific purposes served by naive and professional classification systems.",30,2,64,73,Knowledge extraction; Library classification; Information retrieval; Data science; Computer science; Information science,,,,,,,,,22202072,,0,,37
019-340-375-042-065,International trends in subject analysis research,,1999,journal article,Knowledge Organization,09437444,,,I. C. Mcllwaine; N. J. Williamson,"This paper describes a survey of subject analysis research over the ten year period 1988 to 1998. Data are drawn from the research environment encompassing publications, conference papers, major bibiographic resources in the field of Library and Information Science and selective searches of the Internet. Findings reveal major and minor areas of research activity Trends and developments are identified and conclusions drawn. Strengths and weaknesses in the approaches taken to subject analysis research are discussed and suggestions for improvements are made with a view to future research directions.",26,1,23,29,The Internet; Political science; Major and minor; Data science; Informetrics; Research environment; Subject analysis; Operations research; Strengths and weaknesses; Information science,,,,,,,,,2495518246,,0,,7
