Lens ID,Title,Date Published,Publication Year,Publication Type,Source Title,ISSNs,Publisher,Source Country,Author/s,Abstract,Volume,Issue Number,Start Page,End Page,Fields of Study,Keywords,MeSH Terms,Chemicals,Funding,Source URLs,External URL,PMID,DOI,Microsoft Academic ID,PMCID,Patent Citation Count,References,Scholarly Citation Count
001-080-711-016-033,Titelei/Inhaltsverzeichnis,,2019,journal article,KNOWLEDGE ORGANIZATION,09437444,Nomos Verlag,,,,46,2,I,II,,,,,,,http://dx.doi.org/10.5771/0943-7444-2019-2-i,,10.5771/0943-7444-2019-2-i,,,0,,0
002-227-810-181-405,Alphabetization,,2019,journal article,KNOWLEDGE ORGANIZATION,09437444,Nomos Verlag,,Wendy Korwin; Haakon Lund,"<p>The article provides definitions of alphabetization and related concepts and traces its historical development and challenges, covering analog as well as digital media. It introduces basic principles as well as standards, norms, and guidelines. The function of alphabetization is considered and related to alternatives such as systematic arrangement or classification. </p>",46,3,209,222,,,,,,,http://dx.doi.org/10.5771/0943-7444-2019-3-209,,10.5771/0943-7444-2019-3-209,,,0,,0
002-609-873-058-352,Knowledge Ontology: A Tool for the Unification of Knowledge,,2019,journal article,Knowledge Organization,09437444,International Society for Knowledge Organization,Germany,Guohua Xiao,,46,3,236,238,Information retrieval; Ontology; Computer science; Unification,,,,,http://dx.doi.org/10.5771/0943-7444-2019-3-236,http://dx.doi.org/10.5771/0943-7444-2019-3-236,,10.5771/0943-7444-2019-3-236,2955642262,,0,,1
004-621-144-103-672,Explainable AI: Linking Human and Machine,,2019,journal article,Knowledge Organization,09437444,International Society for Knowledge Organization,Germany,Guohua Xiao,,46,5,398,399,Artificial intelligence; Computer science,,,,,http://dx.doi.org/10.5771/0943-7444-2019-5-398,http://dx.doi.org/10.5771/0943-7444-2019-5-398,,10.5771/0943-7444-2019-5-398,2969988571,,0,,0
005-946-351-440-796,,,2020,journal issue,KNOWLEDGE ORGANIZATION,09437444,Nomos Verlag,,,,47,3,,,,,,,,,http://dx.doi.org/10.5771/0943-7444-2020-3,,10.5771/0943-7444-2020-3,,,0,,0
006-131-603-403-086,Towards a Vocabulary to Implement Culturally Relevant Relationships Between Digital Collections in Heritage Institutions,2020-04-06,2020,journal article,Knowledge Organization,09437444,International Society for Knowledge Organization,Germany,Carlos Henrique Marcondes,"<p>Cultural heritage institutions are publishing their digital collections over the web as LOD. This is is a new step in the patrimonialization and curatorial processes developed by such institutions. Many of these collections are thematically superimposed and complementary. Frequently, objects in these collections present culturally relevant relationships, such as a book about a painting, or a draft or sketch of a famous painting, etc. LOD technology enables such heritage records to be interlinked, achieving interoperability and adding value to digital collections, thus empowering heritage institutions. An aim of this research is characterizing such culturally relevant relationships and organizing them in a vocabulary. Use cases or examples of relationships between objects suggested by curators or mentioned in literature and in the conceptual models as FRBR/LRM, CIDOC CRM and RiC-CM, were collected and used as examples or inspiration of cultural relevant relationships. Relationships identified are collated and compared for identifying those with the same or similar meaning, synthesized and normalized. A set of thirty-three culturally relevant relationships are identified and formalized as a LOD property vocabulary to be used by digital curators to interlink digital collections. The results presented are provisional and a starting point to be discussed, tested, and enhanced. </p>",47,2,122,137,World Wide Web; Sociology; Vocabulary; Digital collections,,,,,http://dx.doi.org/10.5771/0943-7444-2020-2-122,http://dx.doi.org/10.5771/0943-7444-2020-2-122,,10.5771/0943-7444-2020-2-122,3015440969,,0,,0
006-920-773-223-354,LibraryThing for Libraries: How Tag Moderation and Size Limitations Affect Tag Clouds,,2019,journal article,Knowledge Organization,09437444,International Society for Knowledge Organization,Germany,Sandra Johansson; Koraljka Golub,"<p>The aim of this study is to analyse differences between tags on LibraryThing’s web page and tag clouds in their “LibraryThing for Libraries” service, and assess if, and how, the LibraryThing tag moderation and limitations to the size of the tag cloud in the library catalogue affect the description of the information resource. An e-mail survey was conducted with personnel at LibraryThing, and the results were compared against tags for twenty different fiction books, collected from two different library catalogues with disparate tag cloud sizes, and LibraryThing’s web page. The data were analysed using a modified version of Golder and Huberman’s tag categories (2006). The results show that while LibraryThing claims to only remove the inherently personal tags, several other types of tags are found to have been discarded as well. Occasionally a certain type of tag is included in one book, and excluded in another. The comparison between the two tag cloud sizes suggests that the larger tag clouds provide a more pronounced picture regarding the contents of the book but at the cost of an increase in the number of tags with synonymous or redundant information.</p>",46,4,245,259,Information retrieval; Tag cloud; Computer science; Moderation,,,,,http://dx.doi.org/10.5771/0943-7444-2019-4-245,http://dx.doi.org/10.5771/0943-7444-2019-4-245,,10.5771/0943-7444-2019-4-245,2965433880,,0,,0
009-583-805-570-022,Titelei/Inhaltsverzeichnis,,2020,journal article,KNOWLEDGE ORGANIZATION,09437444,Nomos Verlag,,,,47,1,1,2,,,,,,,http://dx.doi.org/10.5771/0943-7444-2020-1-1,,10.5771/0943-7444-2020-1-1,,,0,,0
010-182-814-590-891,,,2019,journal issue,KNOWLEDGE ORGANIZATION,09437444,Nomos Verlag,,,,46,2,,,,,,,,,http://dx.doi.org/10.5771/0943-7444-2019-2,,10.5771/0943-7444-2019-2,,,0,,0
011-055-065-516-698,Impressum,,2019,journal article,KNOWLEDGE ORGANIZATION,09437444,Nomos Verlag,,,,46,7,570,571,,,,,,,http://dx.doi.org/10.5771/0943-7444-2019-7-570,,10.5771/0943-7444-2019-7-570,,,0,,0
