Lens ID,Title,Date Published,Publication Year,Publication Type,Source Title,ISSNs,Publisher,Source Country,Author/s,Abstract,Volume,Issue Number,Start Page,End Page,Fields of Study,Keywords,MeSH Terms,Chemicals,Funding,Source URLs,External URL,PMID,DOI,Microsoft Academic ID,PMCID,Patent Citation Count,References,Scholarly Citation Count
000-189-988-224-76X,Understanding the powerful grouping sense through a unifying classification theory,,1994,journal article,Knowledge Organization,09437444,,,A. V. Hall,"A unifying theory has been developed that draws together a compatible set of methods for classification, and shows why others should be rejected. The methods reveal polythetic groups and sequences, and evaluate the quality and the best identifying characters for each group. The theory defines the rules for the fuzzy uses of 40 interacting options for group studies in a new 12 000 line FORTRAN program called Uniter, available from the author. The theory and the program's options help to show the nature of the achievements and failures of humanity's powerful grouping sense. This approach offers useful understandings in an extremely wide range of fields, examples of which are given. Both research and teaching should take account of this development",21,3,126,131,Automation; Artificial intelligence; Cognition; Computer program; Fortran; Humanity; Unified field theory; Fuzzy logic; Information processing,,,,,,,,,2525837012,,0,,2
003-149-126-851-754,"Onomantics and terminology. Part III : Formats, borrowed terms and omissions",,1996,journal article,Knowledge Organization,09437444,International Society for Knowledge Organization,Germany,Fred W. Riggs,"Third part of a series of articles of which Pt.1 was published in KO 23(1996)No.1, p.25-33, Pt.2 in No.3, p.157-168. Pt.4 will follow in KO 24(1997)No.1. In addition to the important distinctions between the fundamental concepts and terms (tags) used in Onomantics and Terminology, as reported in the first two parts of this essay, several other interesting comparisons can be made. First, with reference to formats, both the structure and nomenclature used for terminological entries (records) in ISO 1087 parallel those found in dictionaries and suggest a semantic rather than an onomantic point of view. Second, a large number of borrowed terms taken from Lexicography and Linguistics can be found in this glossary for the terminology of Terminology. Sometimes the definitions for these terms identify them as borrowed concepts drawn from the vocabulary used by lexicographers. However, sometimes new meanings are stipulated for these terms without any markings to show that they are not borrowed concepts. Moreover, in all these cases, since the original and the newly stipulated concepts are similar, ambiguity is unavoidable. Third, some concepts that might be useful for terminologists are not included in ISO 1087: a few examples are explained. They are all concepts which lexicographers do not need and, consequently, they have no terms for them. It seems apparent that they have been omitted from the vocabulary of Terminology simply because they are new concepts without established terms. To explain the reasons for the formats, terms and omissions found in the leading glossary for the terminology of Terminology takes us into a realm of speculation that is too complicated for inclusion here, but I will discuss it in Part IV of this series, with a focus on the problems of neologisms",23,4,216,224,Epistemology; Applied linguistics; Vocabulary; Realm; Glossary; Ambiguity; Computer science; Linguistics; Speculation; Terminology; Neologism,,,,,http://dx.doi.org/10.5771/0943-7444-1996-4-216 http://cat.inist.fr/?aModele=afficheN&cpsidt=2875518,http://dx.doi.org/10.5771/0943-7444-1996-4-216,,10.5771/0943-7444-1996-4-216,2472096320,,0,,0
006-948-163-366-774,To what end knowledge organization,,1994,journal article,Knowledge Organization,09437444,,,P. Jaenecke,"This paper is put up for discussion to help Knowledge Organization find its proper place. To begin with, a few basic concepts from the field of communication theory are defined. The new concepts permit the conclusion that what we are facing at present is not a flood of information but one of messages, and that this latter flood must not be equated indiscriminately with a knowledge flood. Messages must be judged on their contents. To this end, «knowledge» is subdivided into «core-», «peripheral», and «pseudo-knowledge», and it is argued that the great majority of scientific publications contains peripheral and pseudoknowledge. With the aid of two interlocking and self-amplying recursive mechanisms it is shown that and how pseudoknowledge is more and more gaining disciplines, hence precisely in those fields which deal with social problems in the broadest sense of the world; Thus a deficit of knowledge on which to base action is produced, leading to a general disorientation - a modern form of ignorance, keenly manifesting it self at present in a crisis of leadership. The research tasks resulting from the above for Knowledge Organization are roughly outlined",21,1,3,11,Recursion; Epistemology; Sociology; Artificial intelligence; Body of knowledge; Ignorance; Knowledge organization; Scientific literature; Communication theory; Social issues; Information science,,,,,,,,,2474834007,,0,,10
007-412-694-977-073,"Sociology schedule in the DDC : filiatory structure, terminology, categorization and concept",,1995,journal article,Knowledge Organization,09437444,,,L. P. Pathak,"Attention is drawn to the inadequacies ofthe existing classification schemes as pointed out by individuals and groups concerned with classification research. The article is based on an earlier study by the author, which identified and arranged in a filiatory way the main concepts of sociology and determined their relative significance as headings in a classification scheme The sociology schedule in the Dewey Decimal Classification was examined on the basis of nine evaluation criteria, as e.g. arrangement of major categories, provision for main concepts, use of phrased headings instead of individual key terms, and scattering of related concepts in the schedule. It was found that a large number of the main concepts of sociology are either not represented in the schedule or mentioned in the scope note only along with the main headings. A table shows one hundred main concepts of sociology arranged and classified within ten major categories or sections, and their provision in the DDC. The study suggests that the DDC needs serious reconsideration with regard to the main headings/categories provided as class headings, terminology used for the concepts, the filiatory structure adopted, and the representation of the main concepts of sociology.",22,,148,158,Epistemology; Dewey Decimal Classification; Classification scheme; Knowledge representation and reasoning; Class number; Relative significance; Key terms; Computer science; Terminology; Categorization,,,,,,,,,2503470677,,0,,0
008-507-701-515-423,ISKO News 25,,1996,journal article,KNOWLEDGE ORGANIZATION,09437444,Nomos Verlag,,,,23,3,173,179,,,,,,,http://dx.doi.org/10.5771/0943-7444-1996-3-173,,10.5771/0943-7444-1996-3-173,,,0,,0
009-444-397-123-134,"Ephraim NISSAN, Klaus SCHMIDT (Eds.): From Information to Knowledge, Conceptual and Content Analysis by Computer, Oxford, GB: Intellect Ltd. 1995. 319p. ISBN 1-871516-50-1.",,1996,journal article,Knowledge Organization,09437444,International Society for Knowledge Organization,Germany,Olto Sechser,,23,3,181,182,Philosophy; Humanities; Content analysis; Intellect,,,,,http://dx.doi.org/10.5771/0943-7444-1996-3-181-1,http://dx.doi.org/10.5771/0943-7444-1996-3-181-1,,10.5771/0943-7444-1996-3-181-1,2888173158,,0,,0
010-120-610-745-982,"LERA T, Pierre:Les Langues Specialisees. Linguistique nouvelle. (Special languages. New Linguistics) Dir.par Guy Serba!. Paris: P.u.P. 1995. 201p.",,1996,journal article,Knowledge Organization,09437444,International Society for Knowledge Organization,Germany,Henri Leclercq,,23,2,115,116,Philosophy; Humanities,,,,,http://dx.doi.org/10.5771/0943-7444-1996-2-115,http://dx.doi.org/10.5771/0943-7444-1996-2-115,,10.5771/0943-7444-1996-2-115,2888611526,,0,,0
010-165-399-327-919,Summarising text for intelligent communication. Results of the Dagstuhl seminar,,1994,journal article,Knowledge Organization,09437444,,,B. Endres-Niggemeyer,"As a result of the transition to full-text storage, multimedia and networking, information systems are becoming more efficient but at the same time more difficult to use, in particular because users are confronted with information volumes that increasingly exceed individual processing capacities. Consequently, there is an increase in the demand for user aids such as summarising techniques. Against this background, the interdisciplinary Dagstuhl Seminar Summarising Text for Intelligent Communication, (Dec. 1993) outlined the academic state of the art with regard to summarising (abstracting) and proposed future directions for research and system development",21,4,213,223,Artificial intelligence; Information system; System development; Computer science; Multimedia,,,,,,,,,2295648565,,0,,3
012-629-049-920-451,Thinking with the help of images : On the metaphors of knowledge organization,,1996,journal article,Knowledge Organization,09437444,International Society for Knowledge Organization,Germany,Werner Bies,"In the literature of knowledge organization, metaphors and images such as 'tree ofknowledge', 'map ofknowledge' or the 'world as a network' play an important role. This imagery - although not yet thoroughly documented - should be examined from the various points of view of epistemology, the typology ofmetaphors, discourse analysis, metaphorology and iconography. The crucial point : Not only knowledge as such, but also its organization, is an essential part of our cultural heritage. (Author)",23,1,3,8,Epistemology; Interdisciplinarity; Sociology; Knowledge representation and reasoning; Metaphor; Knowledge organization; Cultural heritage; Typology; Discourse analysis; Information science,,,,,http://dx.doi.org/10.5771/0943-7444-1996-1-3 http://cat.inist.fr/?aModele=afficheN&cpsidt=3037232,http://dx.doi.org/10.5771/0943-7444-1996-1-3,,10.5771/0943-7444-1996-1-3,2518958714,,0,,8
013-302-417-490-03X,On Triplet Classification of Concepts,,1997,journal article,Knowledge Organization,09437444,,,Vladimir Kuznetsov,"This paper introduces a scheme for classifications of concepts. It is founded on the triplet model of concepts. 'This model depicts a concept by means of three kinds of knowledge: a concept base, a concept-representing part and the linkage between them. Informally, the concept base deals with entities subsumed under a concept and their properties and relations. The concept-representing part deals with tools and forms of representing these entities and their properties and relations in some intelligent system. The linkage deals with establishing the proper correspondences between components of the base and the representing part. Each of these knowledge kinds is associated with specific structures related to concepts (symbols, names, statements, images, texts, entities and their properties and relations, procedures of determination of property values, etc.). Various informal and formal (mainly set-theoretical) specifications of these structures serve as criteria for triplet classifications of concepts",24,3,163,175,Artificial intelligence; Cognition; Natural language processing; Property value; Computer science,,,,,https://philpapers.org/rec/KUZOTC https://philarchive.org/rec/KUZOTC,https://philpapers.org/rec/KUZOTC,,,108542390,,0,007-626-642-546-03X; 045-040-697-472-007; 047-427-333-660-313; 092-728-395-461-388; 105-401-148-815-682; 133-577-530-187-984; 152-971-415-645-665,6
